time_iso8601,forks_cumulative
2023-09-12 00:00:00+00:00,1
2023-09-14 00:00:00+00:00,2
2023-09-25 00:00:00+00:00,3
2023-09-27 00:00:00+00:00,4
2023-10-04 00:00:00+00:00,5
2023-10-12 00:00:00+00:00,6
2023-10-17 00:00:00+00:00,9
2023-11-17 00:00:00+00:00,11
2024-01-11 00:00:00+00:00,12
2024-01-18 00:00:00+00:00,16
2024-01-22 00:00:00+00:00,17
2024-01-23 00:00:00+00:00,18
2024-01-24 00:00:00+00:00,20
2024-01-27 00:00:00+00:00,21
2024-01-29 00:00:00+00:00,22
2024-01-31 00:00:00+00:00,23
2024-02-01 00:00:00+00:00,24
2024-02-08 00:00:00+00:00,25
2024-02-15 00:00:00+00:00,26
2024-02-25 00:00:00+00:00,27
2024-02-27 00:00:00+00:00,28
2024-03-07 00:00:00+00:00,29
2024-03-08 00:00:00+00:00,30
2024-04-09 00:00:00+00:00,31
2024-04-26 00:00:00+00:00,32
2024-09-23 00:00:00+00:00,33
2024-11-04 00:00:00+00:00,34
2024-11-18 00:00:00+00:00,35
2024-12-04 00:00:00+00:00,36
2024-12-06 00:00:00+00:00,37
2024-12-07 00:00:00+00:00,38
2024-12-17 00:00:00+00:00,39
2024-12-19 00:00:00+00:00,40
2025-01-22 00:00:00+00:00,41
2025-01-23 00:00:00+00:00,42
2025-01-26 00:00:00+00:00,43
2025-01-27 00:00:00+00:00,44
2025-01-28 00:00:00+00:00,48
2025-01-29 00:00:00+00:00,50
2025-01-30 00:00:00+00:00,51
2025-03-25 00:00:00+00:00,52
2025-05-08 00:00:00+00:00,53
2025-05-13 00:00:00+00:00,54
2025-06-24 00:00:00+00:00,55
2025-08-01 00:00:00+00:00,56
2025-09-01 00:00:00+00:00,57
2025-09-05 00:00:00+00:00,58
2025-11-12 00:00:00+00:00,60
2025-11-20 00:00:00+00:00,61
2025-12-17 00:00:00+00:00,62
2025-12-22 00:00:00+00:00,63
2026-01-22 00:00:00+00:00,64
2026-01-25 00:00:00+00:00,65
2026-01-27 00:00:00+00:00,67
2026-01-28 00:00:00+00:00,68
2026-02-01 00:00:00+00:00,69
2026-02-02 00:00:00+00:00,70
2026-02-03 00:00:00+00:00,71
2026-02-05 00:00:00+00:00,73
2026-02-09 00:00:00+00:00,74
