time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-24 00:00:00+00:00,142,17,29,9
2026-05-25 00:00:00+00:00,108,17,32,8
2026-05-26 00:00:00+00:00,228,33,199,17
2026-05-27 00:00:00+00:00,133,43,241,18
2026-05-28 00:00:00+00:00,27,15,125,18
2026-05-29 00:00:00+00:00,19,12,56,10
2026-05-30 00:00:00+00:00,28,12,20,5
2026-05-31 00:00:00+00:00,44,16,40,7
2026-06-01 00:00:00+00:00,154,36,125,12
2026-06-02 00:00:00+00:00,47,13,32,7
2026-06-03 00:00:00+00:00,56,23,120,17
2026-06-04 00:00:00+00:00,17,15,93,13
2026-06-05 00:00:00+00:00,41,24,76,15
2026-06-06 00:00:00+00:00,42,15,10,6
