time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-22 00:00:00+00:00,6,5,44,9
2025-09-23 00:00:00+00:00,20,10,55,3
2025-09-24 00:00:00+00:00,1,1,36,3
2025-09-25 00:00:00+00:00,5,3,4,2
2025-09-26 00:00:00+00:00,5,4,27,9
2025-09-27 00:00:00+00:00,3,3,21,7
2025-09-28 00:00:00+00:00,0,0,8,4
2025-09-29 00:00:00+00:00,25,9,139,8
2025-09-30 00:00:00+00:00,13,9,21,5
2025-10-01 00:00:00+00:00,2,1,106,10
2025-10-02 00:00:00+00:00,1,1,22,2
2025-10-03 00:00:00+00:00,31,11,227,13
2025-10-04 00:00:00+00:00,12,8,139,8
2025-10-05 00:00:00+00:00,1,1,14,5
2025-10-06 00:00:00+00:00,159,26,152,13
2025-10-07 00:00:00+00:00,46,14,97,11
2025-10-08 00:00:00+00:00,44,18,189,13
2025-10-09 00:00:00+00:00,17,8,72,9
2025-10-10 00:00:00+00:00,25,6,21,7
2025-10-11 00:00:00+00:00,27,17,84,5
2025-10-12 00:00:00+00:00,28,11,17,4
2025-10-13 00:00:00+00:00,32,13,44,10
2025-10-14 00:00:00+00:00,14,5,91,12
2025-10-15 00:00:00+00:00,11,7,96,14
