X, Y, Psi
0.00000, 0.00000, 0.00000
0.01000, 0.00000, 0.00000
0.03000, 0.00000, 0.00000
0.05000, 0.00000, 0.00000
0.07000, 0.00000, 0.00000
0.09000, 0.00000, 0.00000
0.11000, 0.00000, 0.00000
0.13000, 0.00000, 0.00000
0.15000, 0.00000, 0.00000
0.17000, 0.00000, 0.00000
0.19000, 0.00000, 0.00000
0.21000, 0.00000, 0.00000
0.23000, 0.00000, 0.00000
0.25000, 0.00000, 0.00000
0.27000, 0.00000, 0.00000
0.29000, 0.00000, 0.00000
0.31000, 0.00000, 0.00000
0.33000, 0.00000, 0.00000
0.35000, 0.00000, 0.00000
0.37000, 0.00000, 0.00000
0.39000, 0.00000, 0.00000
0.41000, 0.00000, 0.00000
0.43000, 0.00000, 0.00000
0.45000, 0.00000, 0.00000
0.47000, 0.00000, 0.00000
0.49000, 0.00000, 0.00000
0.51000, 0.00000, 0.00000
0.53000, 0.00000, 0.00000
0.55000, 0.00000, 0.00000
0.57000, 0.00000, 0.00000
0.59000, 0.00000, 0.00000
0.61000, 0.00000, 0.00000
0.63000, 0.00000, 0.00000
0.65000, 0.00000, 0.00000
0.67000, 0.00000, 0.00000
0.69000, 0.00000, 0.00000
0.71000, 0.00000, 0.00000
0.73000, 0.00000, 0.00000
0.75000, 0.00000, 0.00000
0.77000, 0.00000, 0.00000
0.79000, 0.00000, 0.00000
0.81000, 0.00000, 0.00000
0.83000, 0.00000, 0.00000
0.85000, 0.00000, 0.00000
0.87000, 0.00000, 0.00000
0.89000, 0.00000, 0.00000
0.91000, 0.00000, 0.00000
0.93000, 0.00000, 0.00000
0.95000, 0.00000, 0.00000
0.97000, 0.00000, 0.00000
0.99000, 0.00000, 0.00000
1.00000, 0.00000, 0.00000
0.00000, 0.01000, 0.00000
0.01000, 0.01000, 0.00784
0.03000, 0.01000, 0.02343
0.05000, 0.01000, 0.03865
0.07000, 0.01000, 0.05327
0.09000, 0.01000, 0.06704
0.11000, 0.01000, 0.07976
0.13000, 0.01000, 0.09122
0.15000, 0.01000, 0.10125
0.17000, 0.01000, 0.10967
0.19000, 0.01000, 0.11636
0.21000, 0.01000, 0.12122
0.23000, 0.01000, 0.12416
0.25000, 0.01000, 0.12515
0.27000, 0.01000, 0.12417
